"","PLAYER_NAME","TEAM_ABBREVIATION","Restricted_Area_FGM","Restricted_Area_FGA","Restricted_Area_FG_PCT","In_The_Paint_Non_RA_FGM","In_The_Paint_Non_RA_FGA","In_The_Paint_Non_RA_FG_PCT","Mid_Range_FGM","Mid_Range_FGA","Mid_Range_FG_PCT","Left_Corner_3_FGM","Left_Corner_3_FGA","Left_Corner_3_FG_PCT","Right_Corner_3_FGM","Right_Corner_3_FGA","Right_Corner_3_FG_PCT","Above_the_Break_3_FGM","Above_the_Break_3_FGA","Above_the_Break_3_FG_PCT","Backcourt_3_FGM","Backcourt_3_FGA","Backcourt_3_FG_PCT"
"141","Kenny Wooten","RGV","1.4","2.1","0.655","0.1","0.7","0.2","0.1","0.4","0.4","0","0","0","0","0","0","0.1","0.2","0.333","0","0","0"
"142","Kevin Porter Jr.","RGV","3.7","5.8","0.632","1.1","2.5","0.447","1.2","2.7","0.439","0.1","0.2","0.667","0","0.3","0","2.5","7.6","0.325","0","0","0"
"143","Kevon Harris","RAP","0.9","1.9","0.462","0","0.3","0","0","0","0","0","0.2","0","0.2","0.2","1","0.1","0.6","0.25","0","0","0"
"144","Khyri Thomas","AUS","1.6","2.7","0.579","0.4","1.4","0.3","1.1","2.1","0.533","0.7","0.8","0.8","0.7","1","0.667","1.1","3.4","0.333","0","0","0"
"145","Kobi Simmons","GBO","2.9","5.4","0.543","1.1","3.6","0.315","0.5","1.7","0.269","0.5","1","0.467","0.3","0.8","0.417","1.1","3.1","0.34","0","0","0"
"146","Kristian Doolittle","CTN","0","0.7","0","0.3","0.7","0.5","0.3","0.3","1","0","0","0","0","0","0","0","0.7","0","0","0","0"
"147","Ky Bowman","ACC","1.3","2.8","0.471","0.3","0.8","0.4","0.8","2.3","0.357","0","0.2","0","0","0.3","0","0.8","2.8","0.294","0","0","0"
"148","Kylor Kelley","AUS","1.3","2.1","0.621","0.1","0.3","0.25","0.2","0.3","0.75","0","0","0","0","0","0","0","0","0","0","0","0"
"149","Lamine Diane","DEL","0.8","1.4","0.571","0.2","0.6","0.333","0.2","0.4","0.5","0.2","0.2","1","0","0","0","0","0","0","0","0","0"
"150","Levi Randolph","CTN","1.3","2.3","0.559","0.8","1.7","0.462","0.5","1.6","0.333","0.5","1.1","0.5","0.2","0.4","0.5","1.1","2.9","0.386","0","0","0"
"151","Lindell Wigginton","IWA","2","3.1","0.652","1.2","2","0.6","0.5","1.7","0.308","0.3","0.8","0.417","0.3","0.6","0.444","1.7","5.9","0.284","0","0","0"
"152","London Perrantes","AUS","0.6","0.9","0.615","0.3","1","0.286","0.7","2.1","0.333","0","0.2","0","0","0.2","0","0.9","2.9","0.317","0.1","0.1","1"
"153","Louis King","WES","2.1","3.3","0.62","0.9","1.8","0.519","0.3","0.7","0.4","0.4","0.8","0.5","0.3","0.6","0.444","1.1","2.4","0.444","0","0","0"
"154","Luka Samanic","AUS","4.5","7.2","0.628","1.3","3.8","0.348","0.5","1.3","0.375","0","0","0","0","0.2","0","1.8","6","0.306","0","0","0"
"155","Malachi Flynn","RAP","2.8","5","0.567","0.8","2.2","0.385","1","2.8","0.353","0.2","0.3","0.5","0","0","0","2.8","7","0.405","0","0","0"
"156","Malachi Richardson","CTN","0.4","1","0.357","0.1","0.4","0.2","0.4","1.1","0.333","0.8","0.8","1","0.3","0.4","0.667","1","3.2","0.311","0","0","0"
"157","Malcolm Miller","SLC","0.6","1.4","0.45","0.2","0.8","0.273","0.1","0.3","0.5","0.5","1.2","0.412","0.6","1.3","0.444","0.6","2.1","0.31","0","0","0"
"158","Malik Benlevi","SLC","1.2","1.6","0.722","0.2","0.3","0.667","0.1","0.3","0.333","0.1","0.3","0.333","0.2","0.5","0.4","1","3","0.333","0","0","0"
"159","Malik Fitts","ACC","1.8","2.4","0.742","0.9","2.3","0.375","0.6","1.2","0.471","0.3","0.6","0.5","0.4","0.5","0.714","0.5","2.2","0.226","0","0","0"
"160","Malik Pope","AUS","0.5","1","0.5","0","0.5","0","0","0","0","0","0","0","1","1","1","0","0.5","0","0","0","0"
"161","Mamadi Diakite","LAK","5.4","7.7","0.707","1.2","2.8","0.424","0.4","1.4","0.294","0","0","0","0","0","0","0.6","1.1","0.538","0","0.1","0"
"162","Marcus Graves","SLC","0.8","1.5","0.563","1.1","2","0.545","0.4","1.4","0.267","0.3","0.8","0.333","0","0.3","0","1","2.8","0.355","0","0.1","0"
"163","Marlon Taylor","ERI","0.3","0.7","0.5","0","0.2","0","0","0.2","0","0","0.5","0","0","0.2","0","0.2","0.3","0.5","0","0","0"
"164","Marques Bolden","CTN","2.5","3.9","0.641","0.5","1.8","0.278","0.6","1.3","0.462","0","0","0","0","0","0","0","0.1","0","0","0","0"
"165","Matt McQuaid","CTN","0","0","0","0","0","0","0.3","0.3","1","0","0","0","0","0.8","0","0","0.5","0","0","0","0"
"166","Matt Mooney","RAP","1.3","2","0.633","0.8","1.8","0.444","0.1","0.6","0.222","0.4","0.6","0.667","0.2","0.3","0.6","1.3","4.1","0.323","0","0.1","0"
"167","Matt Morgan","RAP","0.8","1.5","0.55","0.2","0.4","0.6","0","0.2","0","0.2","0.6","0.286","0.2","0.3","0.5","1","2.9","0.342","0","0.1","0"
"168","Melvin Frazier Jr.","OKL","1.1","2.1","0.52","0.2","0.8","0.2","0","0.3","0","0.1","0.8","0.1","0.3","0.4","0.8","0.7","1.7","0.4","0","0","0"
"169","Michael Frazier II","DEL","2.8","5.2","0.548","0.3","0.9","0.364","0.3","0.8","0.444","0.3","0.9","0.273","0.2","0.5","0.4","1","3.7","0.273","0","0","0"
"170","Mike Scott","SLC","1.1","2","0.542","1.2","2.4","0.483","1.1","2.4","0.448","0.2","0.2","1","0","0.2","0","0.5","3.3","0.154","0","0","0"
"171","Moses Brown","OKL","6","9.5","0.632","1.1","3.4","0.333","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"172","Myles Powell","WES","2.5","4.2","0.611","0.2","1.4","0.167","0.6","2","0.308","0.1","0.2","0.333","0.2","0.2","1","2.6","5.9","0.442","0","0.1","0"
"173","Naji Marshall","ERI","3.1","4.1","0.755","0.7","1.7","0.4","0.3","0.9","0.273","0.2","0.8","0.222","0.5","0.8","0.667","1.2","3.6","0.326","0","0.2","0"
"174","Nate Darling","GBO","0.2","0.4","0.6","0.2","0.2","0.667","0","0.2","0","0.1","0.8","0.1","0.2","0.8","0.2","2.2","5.7","0.378","0","0","0"
"175","Nate Hinton","SCW","1.8","3","0.611","0.1","0.7","0.125","0.1","0.4","0.2","0.3","0.8","0.333","0.3","0.3","1","0.7","2.5","0.267","0","0","0"
"176","Nate Renfro","AUS","1.4","2.3","0.6","0.2","0.5","0.375","0","0.1","0","0","0.2","0","0","0.1","0","0.2","1","0.2","0","0","0"
"177","Nate Sestina","LIN","0.9","1.3","0.684","0","0","0","0.1","0.2","0.333","0.2","0.4","0.5","0.1","0.4","0.4","1.3","4.4","0.303","0","0","0"
"178","Naz Mitrou-Long","FWN","1.8","3.1","0.575","1","2.3","0.433","0.5","1.2","0.438","0.3","0.5","0.667","0.1","0.2","0.333","0.9","3.2","0.286","0","0","0"
